Filename:[anno]	 Range: 23ffffc000-2400004000	 Memory Size: 0.03 MB	 Active Pages: 0
Filename:[anno]	 Range: 2400004000-240000c000	 Memory Size: 0.03 MB	 Active Pages: 0
Filename:[anno]	 Range: 240000c000-24000c0000	 Memory Size: 0.70 MB	 Active Pages: 0
Filename:[anno]	 Range: 24000c0000-24000c4000	 Memory Size: 0.02 MB	 Active Pages: 0
Filename:[anno]	 Range: 24000c4000-2400204000	 Memory Size: 1.25 MB	 Active Pages: 0
Filename:[anno]	 Range: 2400204000-240020c000	 Memory Size: 0.03 MB	 Active Pages: 0
Filename:[anno]	 Range: 240020c000-24003a0000	 Memory Size: 1.58 MB	 Active Pages: 0
Filename:[anno]	 Range: 24003a0000-24003a4000	 Memory Size: 0.02 MB	 Active Pages: 0
Filename:[anno]	 Range: 24003a4000-2400404000	 Memory Size: 0.38 MB	 Active Pages: 0
Filename:[anno]	 Range: 2400404000-240040c000	 Memory Size: 0.03 MB	 Active Pages: 0
Filename:[anno]	 Range: 240040c000-2400410000	 Memory Size: 0.02 MB	 Active Pages: 0
Filename:[anno]	 Range: 2400410000-2400414000	 Memory Size: 0.02 MB	 Active Pages: 0
Filename:[anno]	 Range: 2400414000-24004a8000	 Memory Size: 0.58 MB	 Active Pages: 0
Filename:[anno]	 Range: 24004a8000-24004ac000	 Memory Size: 0.02 MB	 Active Pages: 0
Filename:[anno]	 Range: 24004ac000-24004f8000	 Memory Size: 0.30 MB	 Active Pages: 0
Filename:[anno]	 Range: 24004f8000-24004fc000	 Memory Size: 0.02 MB	 Active Pages: 0
Filename:[anno]	 Range: 24004fc000-2400604000	 Memory Size: 1.03 MB	 Active Pages: 0
Filename:[anno]	 Range: 2400604000-240060c000	 Memory Size: 0.03 MB	 Active Pages: 0
Filename:[anno]	 Range: 240060c000-2400788000	 Memory Size: 1.48 MB	 Active Pages: 0
Filename:[anno]	 Range: 2400788000-240078c000	 Memory Size: 0.02 MB	 Active Pages: 0
Filename:[anno]	 Range: 240078c000-2400804000	 Memory Size: 0.47 MB	 Active Pages: 0
Filename:[anno]	 Range: 2400804000-240080c000	 Memory Size: 0.03 MB	 Active Pages: 0
Filename:[anno]	 Range: 240080c000-2400960000	 Memory Size: 1.33 MB	 Active Pages: 0
Filename:[anno]	 Range: 2400960000-2400964000	 Memory Size: 0.02 MB	 Active Pages: 0
Filename:[anno]	 Range: 2400964000-2400a04000	 Memory Size: 0.62 MB	 Active Pages: 0
Filename:[anno]	 Range: 2400a04000-2400a0c000	 Memory Size: 0.03 MB	 Active Pages: 1
Filename:[anno]	 Range: 2400a0c000-2400b88000	 Memory Size: 1.48 MB	 Active Pages: 0
Filename:[anno]	 Range: 2400b88000-2400b8c000	 Memory Size: 0.02 MB	 Active Pages: 0
Filename:[anno]	 Range: 2400b8c000-2400bb0000	 Memory Size: 0.14 MB	 Active Pages: 0
Filename:[anno]	 Range: 2400bb0000-2400bb4000	 Memory Size: 0.02 MB	 Active Pages: 0
Filename:[anno]	 Range: 2400bb4000-2400c04000	 Memory Size: 0.31 MB	 Active Pages: 0
Filename:[anno]	 Range: 2400c04000-2400c0c000	 Memory Size: 0.03 MB	 Active Pages: 0
Filename:[anno]	 Range: 2400c0c000-2400d10000	 Memory Size: 1.02 MB	 Active Pages: 0
Filename:[anno]	 Range: 2400d10000-2400d14000	 Memory Size: 0.02 MB	 Active Pages: 0
Filename:[anno]	 Range: 2400d14000-2400e04000	 Memory Size: 0.94 MB	 Active Pages: 0
Filename:[anno]	 Range: 2400e04000-2400e0c000	 Memory Size: 0.03 MB	 Active Pages: 0
Filename:[anno]	 Range: 2400e0c000-2400e58000	 Memory Size: 0.30 MB	 Active Pages: 0
Filename:[anno]	 Range: 2400e58000-2400e5c000	 Memory Size: 0.02 MB	 Active Pages: 0
Filename:[anno]	 Range: 2400e5c000-2400e88000	 Memory Size: 0.17 MB	 Active Pages: 0
Filename:[anno]	 Range: 2400e88000-2400e8c000	 Memory Size: 0.02 MB	 Active Pages: 0
Filename:[anno]	 Range: 2400e8c000-2401004000	 Memory Size: 1.47 MB	 Active Pages: 0
Filename:[anno]	 Range: 2401004000-240100c000	 Memory Size: 0.03 MB	 Active Pages: 0
Filename:[anno]	 Range: 240100c000-2401204000	 Memory Size: 1.97 MB	 Active Pages: 0
Filename:[anno]	 Range: 2401204000-240120c000	 Memory Size: 0.03 MB	 Active Pages: 0
Filename:[anno]	 Range: 240120c000-24012a8000	 Memory Size: 0.61 MB	 Active Pages: 0
Filename:[anno]	 Range: 24012a8000-24012ac000	 Memory Size: 0.02 MB	 Active Pages: 0
Filename:[anno]	 Range: 24012ac000-2401404000	 Memory Size: 1.34 MB	 Active Pages: 0
Filename:[anno]	 Range: 2401404000-240140c000	 Memory Size: 0.03 MB	 Active Pages: 1
Filename:[anno]	 Range: 240140c000-2401500000	 Memory Size: 0.95 MB	 Active Pages: 0
Filename:[anno]	 Range: 2401500000-2401504000	 Memory Size: 0.02 MB	 Active Pages: 0
Filename:[anno]	 Range: 2401504000-2401528000	 Memory Size: 0.14 MB	 Active Pages: 0
Filename:[anno]	 Range: 2401528000-240152c000	 Memory Size: 0.02 MB	 Active Pages: 0
